publish_date,start_date,end_date,motivation,description,expected_change,percentage_trade,author,debit_currency,debit_amount,credit_currency,credit_amount
2021-07-02,2022-11-18,2022-12-30,Dash will go down in January,Modern to real claim appear organization value. House house himself throw summer challenge cover. Professor senior property. Eight her administration issue. Behind agree hot them eye participant add.,41,9,62,Euro,1984.8175199999998,Litecoin,2783.179152
2022-03-14,2023-01-02,2023-01-18,Ubiq will go up on Thursday,Sense look mission official surface white send myself. Very miss letter senior order. Four example soldier. Near free you stock avoid one. Different again animal way.,85,12,30,Yuán,33088.634568,Bitcoin Cash,13772.642154999998
2021-08-01,2022-01-01,2022-07-30,Ethereum Classic will go down on Thursday,Fall sea rate ever college. War trade year difference institution. Crime live imagine use agreement black.,97,71,74,Euro,8283.616344,Bitcoin Cash,6405.636464
2022-03-20,2023-05-17,2023-05-18,Primecoin will go up on Friday,Behavior impact action maintain. Painting realize choice. Role much boy. Seven money score option off. Support certainly fall purpose. Off involve whatever understand senior question.,100,57,53,Bitcoin,8062.138448,Canadian-Dollar,15264.743864999999
2022-05-18,2023-04-29,2023-05-05,Dogecoin will go up in September,Other remain to responsibility. Share note career dinner carry. Every reveal speech amount instead discover task.,145,72,16,Canadian-Dollar,1137.795904,Yen,2401.3623719999996
2021-11-26,2022-03-29,2022-12-03,Monero will go down on Wednesday,Deep analysis sister thought issue fast. Voice anyone agent language shake. Defense send win image before six politics option.,67,89,26,Yuán,19212.329313000002,Bitcoin,4219.007264
2022-02-06,2023-01-21,2023-03-13,Sirin Labs will go up on Sunday,Feeling modern order around TV spring product. Ground also almost early consider.,51,77,3,Bitcoin Cash,23135.0778,Euro,159.301008
2022-04-10,2022-09-28,2023-03-16,Cardano will go up on Saturday,Which prepare beautiful often almost Republican bag speak. Serious whom military note job. Leg field most yet once red large future.,89,40,60,Bitcoin Cash,18278.068361999998,Ethereum,19627.170120000002
2021-06-03,2022-11-18,2022-12-11,Zclassic will go up on Friday,Cause win service drive. Imagine matter will pick. Government cost weight degree theory state both.,193,57,58,Bitcoin Cash,2815.79495,Ethereum,31193.739423
2021-10-27,2023-03-16,2023-05-09,Omni will go up on Wednesday,Evening teacher behavior compare. Strong visit rich fund. Expect section ready number sea hold fact.,65,12,32,Litecoin,33757.83969,Canadian-Dollar,4422.482248
2021-06-09,2022-09-28,2023-01-10,Tether will go down on Thursday,Material pass too dog big per medical turn. Thousand customer nature find better avoid strong. Parent truth drop ready.,94,28,64,Yuán,1952.85304,US-Dollar,282.768651
2022-05-16,2022-09-11,2023-03-14,Zclassic will go down in February,Pressure see word his Democrat reveal act value. Last nearly recent approach any throughout. Feel great better lot blue research. Family simply throw project lot.,93,8,62,Litecoin,312.81564,Yuán,535.270437
2022-01-10,2022-04-23,2023-04-16,Waves Platform will go up in June,Place truth view medical dinner write character. Several themselves condition talk run my. Though social blue factor Mrs. Federal simply take into action company staff other.,47,69,52,Yen,276.98328899999996,Ethereum,1072.291887
2021-10-08,2022-07-25,2022-08-13,Gridcoin will go down on Thursday,Public start relationship miss teach. Whom ten feeling weight specific. Whose possible manage without bag fish current. Age center after. Bit hot step study.,161,42,41,Yuán,10195.613328000001,Ethereum,82682.07948
2021-11-22,2023-02-01,2023-05-18,Waves Platform will go up on Friday,Green break fast. Strong laugh school hundred. Seek able far the. Will probably traditional. Center water think shake. Call one including future head. Mrs report police especially.,85,26,94,Yen,10684.715242000002,Bitcoin,20627.242944000005
2021-10-29,2022-08-28,2023-01-27,Primecoin will go up in October,Still until option indicate something. Value building under watch want kitchen. Give red better write away cold trouble. Human office exactly worry same back.,14,38,75,Ethereum,4912.7494050000005,US-Dollar,3540.72264
2021-10-24,2022-06-16,2022-11-18,Ripple will go up on Wednesday,Partner above decade. Never within team yes Democrat more. Line concern office political. Soon green build million attention spend bit. Behind military civil want situation.,233,94,97,Yen,6766.3242359999995,US-Dollar,82603.122617
2022-05-13,2022-07-05,2022-09-02,TRON will go down on Friday,Learn lay interesting environmental hour upon. Reveal recognize arrive travel. Theory away audience black guy safe. Season will great prove. During risk local conference. Foot other assume.,53,78,57,Yen,75979.470815,Bitcoin,19284.784767999998
2021-08-11,2023-03-13,2023-05-13,BlackCoin will go up on Monday,Include many end apply. Relationship any west yet. Might space movement. Seek join director site worry father ball. Share middle site smile industry. Truth table occur discuss.,48,76,57,Bitcoin,46895.345444,Dogecoin,1633.195206
2021-10-15,2022-06-15,2022-07-01,Omni will go up on Tuesday,Quite green animal amount toward approach management raise. Base Mr language read everyone. Rock mother want close song.,107,53,6,US-Dollar,14981.414063,Bitcoin,8141.419044
2022-05-07,2022-06-06,2022-08-29,Ethereum Classic will go up in October,Treatment expect lot. Mention able speak girl professional. Site always contain hotel. Indicate nice senior race PM top. Dream send notice. Cut defense although.,151,46,33,Canadian-Dollar,30173.497416000002,US-Dollar,21971.096138999997
2021-11-27,2022-04-10,2022-06-25,Zcash will go up in December,Word deep ability sit but avoid. More myself account compare. Forward everyone list operation spring small.,14,87,16,Yen,9354.546534,Canadian-Dollar,20183.29824
2022-02-16,2023-04-27,2023-05-12,Ubiq will go up in September,Information within pressure nearly collection story successful. Above security worker author watch interesting. Almost rather guy water.,58,50,87,Canadian-Dollar,114854.845207,Euro,50128.836768
2021-07-30,2022-08-08,2023-01-31,NEO will go up on Thursday,Throughout unit role week rest claim watch. Medical figure ready safe share into this. Similar question case term. Develop poor minute sea special listen many.,174,39,24,Bitcoin Cash,239.624141,Euro,6367.137324
2021-06-11,2022-04-01,2022-10-21,PotCoin will go down on Tuesday,Particular interesting kitchen eight into next card. Have color citizen wind. Nor pick still rock everything list career. Relate suggest cover party position do.,153,68,98,Yen,32.199509,Bitcoin Cash,7.44465
2021-10-10,2022-11-26,2023-02-26,Monero will go up on Monday,Analysis itself story soldier. City after step. Country front himself development focus choose wind.,93,43,74,Euro,1480.594644,Bitcoin Cash,29238.476599
